t;soil_temperature
0;16
1;16
2;16
3;16
4;16
5;18
6;18
7;18
8;18
9;18
10;18
11;18
12;18
13;18
14;18
15;18
16;18
17;18
18;18
19;18
20;18
21;16
22;16
23;16
24;16
25;16
26;16
27;16
28;16
29;18
30;18
31;18
32;18
33;18
34;18
35;18
36;18
37;18
38;18
39;18
40;18
41;18
42;18
43;18
44;18
45;16
46;16
47;16
48;16
49;16
50;16
51;16
52;16
53;18
54;18
55;18
56;18
57;18
58;18
59;18
60;18
61;18
62;18
63;18
64;18
65;18
66;18
67;18
68;18
69;16
70;16
71;16
72;16
73;16
74;16
75;16
76;16
77;18
78;18
79;18
80;18
81;18
82;18
83;18
84;18
85;18
86;18
87;18
88;18
89;18
90;18
91;18
92;18
93;16
94;16
95;16
96;16
97;16
98;16
99;16
100;16
101;18
102;18
103;18
104;18
105;18
106;18
107;18
108;18
109;18
110;18
111;18
112;18
113;18
114;18
115;18
116;18
117;16
118;16
119;16
120;16
121;16
122;16
123;16
124;16
125;18
126;18
127;18
128;18
129;18
130;18
131;18
132;18
133;18
134;18
135;18
136;18
137;18
138;18
139;18
140;18
141;16
142;16
143;16
144;16
145;16
146;16
147;16
148;16
149;18
150;18
151;18
152;18
153;18
154;18
155;18
156;18
157;18
158;18
159;18
160;18
161;18
162;18
163;18
164;18
165;16
166;16
167;16
168;16
169;16
170;16
171;16
172;16
173;18
174;18
175;18
176;18
177;18
178;18
179;18
180;18
181;18
182;18
183;18
184;18
185;18
186;18
187;18
188;18
189;16
190;16
191;16
192;16
193;16
194;16
195;16
196;16
197;18
198;18
199;18
200;18
201;18
202;18
203;18
204;18
205;18
206;18
207;18
208;18
209;18
210;18
211;18
212;18
213;16
214;16
215;16
216;16
217;16
218;16
219;16
220;16
221;18
222;18
223;18
224;18
225;18
226;18
227;18
228;18
229;18
230;18
231;18
232;18
233;18
234;18
235;18
236;18
237;16
238;16
239;16
240;16
241;16
242;16
243;16
244;16
245;18
246;18
247;18
248;18
249;18
250;18
251;18
252;18
253;18
254;18
255;18
256;18
257;18
258;18
259;18
260;18
261;16
262;16
263;16
264;16
265;16
266;16
267;16
268;16
269;18
270;18
271;18
272;18
273;18
274;18
275;18
276;18
277;18
278;18
279;18
280;18
281;18
282;18
283;18
284;18
285;16
286;16
287;16
288;16
289;16
290;16
291;16
292;16
293;18
294;18
295;18
296;18
297;18
298;18
299;18
300;18
301;18
302;18
303;18
304;18
305;18
306;18
307;18
308;18
309;16
310;16
311;16
312;16
313;16
314;16
315;16
316;16
317;18
318;18
319;18
320;18
321;18
322;18
323;18
324;18
325;18
326;18
327;18
328;18
329;18
330;18
331;18
332;18
333;16
334;16
335;16
336;16
337;16
338;16
339;16
340;16
341;18
342;18
343;18
344;18
345;18
346;18
347;18
348;18
349;18
350;18
351;18
352;18
353;18
354;18
355;18
356;18
357;16
358;16
359;16
360;16
361;16
362;16
363;16
364;16
365;18
366;18
367;18
368;18
369;18
370;18
371;18
372;18
373;18
374;18
375;18
376;18
377;18
378;18
379;18
380;18
381;16
382;16
383;16
384;16
385;16
386;16
387;16
388;16
389;18
390;18
391;18
392;18
393;18
394;18
395;18
396;18
397;18
398;18
399;18
400;18
401;18
402;18
403;18
404;18
405;16
406;16
407;16
408;16
409;16
410;16
411;16
412;16
413;18
414;18
415;18
416;18
417;18
418;18
419;18
420;18
421;18
422;18
423;18
424;18
425;18
426;18
427;18
428;18
429;16
430;16
431;16
432;16
433;16
434;16
435;16
436;16
437;18
438;18
439;18
440;18
441;18
442;18
443;18
444;18
445;18
446;18
447;18
448;18
449;18
450;18
451;18
452;18
453;16
454;16
455;16
456;16
457;16
458;16
459;16
460;16
461;18
462;18
463;18
464;18
465;18
466;18
467;18
468;18
469;18
470;18
471;18
472;18
473;18
474;18
475;18
476;18
477;16
478;16
479;16
480;16
481;16
482;16
483;16
484;16
485;18
486;18
487;18
488;18
489;18
490;18
491;18
492;18
493;18
494;18
495;18
496;18
497;18
498;18
499;18
500;18
501;16
502;16
503;16
504;16
505;16
506;16
507;16
508;16
509;18
510;18
511;18
512;18
513;18
514;18
515;18
516;18
517;18
518;18
519;18
520;18
521;18
522;18
523;18
524;18
525;16
526;16
527;16
528;16
529;16
530;16
531;16
532;16
533;18
534;18
535;18
536;18
537;18
538;18
539;18
540;18
541;18
542;18
543;18
544;18
545;18
546;18
547;18
548;18
549;16
550;16
551;16
552;16
553;16
554;16
555;16
556;16
557;18
558;18
559;18
560;18
561;18
562;18
563;18
564;18
565;18
566;18
567;18
568;18
569;18
570;18
571;18
572;18
573;16
574;16
575;16
576;16
577;16
578;16
579;16
580;16
581;18
582;18
583;18
584;18
585;18
586;18
587;18
588;18
589;18
590;18
591;18
592;18
593;18
594;18
595;18
596;18
597;16
598;16
599;16
600;16
601;16
602;16
603;16
604;16
605;18
606;18
607;18
608;18
609;18
610;18
611;18
612;18
613;18
614;18
615;18
616;18
617;18
618;18
619;18
620;18
621;16
622;16
623;16
624;16
625;16
626;16
627;16
628;16
629;18
630;18
631;18
632;18
633;18
634;18
635;18
636;18
637;18
638;18
639;18
640;18
641;18
642;18
643;18
644;18
645;16
646;16
647;16
648;16
649;16
650;16
651;16
652;16
653;18
654;18
655;18
656;18
657;18
658;18
659;18
660;18
661;18
662;18
663;18
664;18
665;18
666;18
667;18
668;18
669;16
670;16
671;16
672;16
673;16
674;16
675;16
676;16
677;18
678;18
679;18
680;18
681;18
682;18
