t;water_root_shoot_xylem;AA_root_shoot_phloem;soil_temperature
0;0;0;8.0516
1;0;9.04921013465627E-10;8.05107128
2;0;1.80984202693125E-09;8.05054512
3;0;2.71476304039688E-09;8.05002152
4;0;3.61968405386251E-09;8.04950048
5;0;4.52460506732814E-09;8.048982
6;0;5.42952608079376E-09;8.04846608
7;0;6.33444709425939E-09;8.04795272
8;0;7.23936810772502E-09;8.04744192
9;0;8.14428912119064E-09;8.04693368
10;0;9.04921013465627E-09;8.046428
11;0;9.9541311481219E-09;8.04592488
12;0;1.08590521615875E-08;8.04542432
13;0;1.17639731750532E-08;8.04492632
14;0;1.26688941885188E-08;8.04443088
15;0;1.35738152019844E-08;8.043938
16;0;1.447873621545E-08;8.04344768
17;0;1.53836572289157E-08;8.04295992
18;0;1.62885782423813E-08;8.04247472
19;0;1.71934992558469E-08;8.04199208
20;0;1.80984202693125E-08;8.041512
21;0;1.90033412827782E-08;8.04103448
22;0;1.99082622962438E-08;8.04055952
23;0;2.08131833097094E-08;8.04008712
24;0;2.17181043231751E-08;8.03961728
25;0;2.26230253366407E-08;8.03915
26;0;2.35279463501063E-08;8.03868528
27;0;2.44328673635719E-08;8.03822312
28;0;2.53377883770376E-08;8.03776352
29;0;2.62427093905032E-08;8.03730648
30;0;2.71476304039688E-08;8.036852
31;0;2.80525514174344E-08;8.03640008
32;0;2.89574724309001E-08;8.03595072
33;0;2.98623934443657E-08;8.03550392
34;0;3.07673144578313E-08;8.03505968
35;0;3.16722354712969E-08;8.034618
36;0;3.25771564847626E-08;8.03417888
37;0;3.34820774982282E-08;8.03374232
38;0;3.43869985116938E-08;8.03330832
39;0;3.52919195251595E-08;8.03287688
40;0;3.61968405386251E-08;8.032448
41;0;3.71017615520907E-08;8.03202168
42;0;3.80066825655563E-08;8.03159792
43;0;3.8911603579022E-08;8.03117672
44;0;3.98165245924876E-08;8.03075808
45;0;4.07214456059532E-08;8.030342
46;0;4.16263666194189E-08;8.02992848
47;0;4.25312876328845E-08;8.02951752
48;0;4.34362086463501E-08;8.02910912
49;0;4.43411296598157E-08;8.02870328
50;0;4.52460506732814E-08;8.0283
51;0;4.6150971686747E-08;8.02789928
52;0;4.70558927002126E-08;8.02750112
53;0;4.79608137136782E-08;8.02710552
54;0;4.88657347271439E-08;8.02671248
55;0;4.97706557406095E-08;8.026322
56;0;5.06755767540751E-08;8.02593408
57;0;5.15804977675408E-08;8.02554872
58;0;5.24854187810064E-08;8.02516592
59;0;5.3390339794472E-08;8.02478568
60;0;5.42952608079376E-08;8.024408
61;0;5.52001818214033E-08;8.02403288
62;0;5.61051028348689E-08;8.02366032
63;0;5.70100238483345E-08;8.02329032
64;0;5.79149448618001E-08;8.02292288
65;0;5.88198658752658E-08;8.022558
66;0;5.97247868887314E-08;8.02219568
67;0;6.0629707902197E-08;8.02183592
68;0;6.15346289156626E-08;8.02147872
69;0;6.24395499291283E-08;8.02112408
70;0;6.33444709425939E-08;8.020772
71;0;6.42493919560595E-08;8.02042248
72;0;6.51543129695252E-08;8.02007552
73;0;6.60592339829908E-08;8.01973112
74;0;6.69641549964564E-08;8.01938928
75;0;6.7869076009922E-08;8.01905
76;0;6.87739970233877E-08;8.01871328
77;0;6.96789180368533E-08;8.01837912
78;0;7.05838390503189E-08;8.01804752
79;0;7.14887600637845E-08;8.01771848
80;0;7.23936810772502E-08;8.017392
81;0;7.32986020907158E-08;8.01706808
82;0;7.42035231041814E-08;8.01674672
