t;sucrose_input_rate
0;1.8e-11
1;9.8e-11
2;1.64e-10
3;2.06e-10
4;2.31e-10
5;2.46e-10
6;2.55e-10
7;2.6e-10
8;2.64e-10
9;2.66e-10
10;2.67e-10
11;2.67e-10
12;2.68e-10
13;1.62e-10
14;1.08e-10
15;7.45e-11
16;5.38e-11
17;4.1e-11
18;3.27e-11
19;2.73e-11
20;2.38e-11
21;2.14e-11
22;1.98e-11
23;1.88e-11
24;1.8e-11
25;9.8e-11
26;1.64e-10
27;2.06e-10
28;2.31e-10
29;2.46e-10
30;2.55e-10
31;2.6e-10
32;2.64e-10
33;2.66e-10
34;2.67e-10
35;2.67e-10
36;2.68e-10
37;1.62e-10
38;1.08e-10
39;7.45e-11
40;5.38e-11
41;4.1e-11
42;3.27e-11
43;2.73e-11
44;2.38e-11
45;2.14e-11
46;1.98e-11
47;1.88e-11
48;1.8e-11
49;9.8e-11
50;1.64e-10
51;2.06e-10
52;2.31e-10
53;2.46e-10
54;2.55e-10
55;2.6e-10
56;2.64e-10
57;2.66e-10
58;2.67e-10
59;2.67e-10
60;2.68e-10
61;1.62e-10
62;1.08e-10
63;7.45e-11
64;5.38e-11
65;4.1e-11
66;3.27e-11
67;2.73e-11
68;2.38e-11
69;2.14e-11
70;1.98e-11
71;1.88e-11
72;1.8e-11
73;9.8e-11
74;1.64e-10
75;2.06e-10
76;2.31e-10
77;2.46e-10
78;2.55e-10
79;2.6e-10
80;2.64e-10
81;2.66e-10
82;2.67e-10
83;2.67e-10
84;2.68e-10
85;1.62e-10
86;1.08e-10
87;7.45e-11
88;5.38e-11
89;4.1e-11
90;3.27e-11
91;2.73e-11
92;2.38e-11
93;2.14e-11
94;1.98e-11
95;1.88e-11
96;1.8e-11
97;9.8e-11
98;1.64e-10
99;2.06e-10
100;2.31e-10
101;2.46e-10
102;2.55e-10
103;2.6e-10
104;2.64e-10
105;2.66e-10
106;2.67e-10
107;2.67e-10
108;2.68e-10
109;1.62e-10
110;1.08e-10
111;7.45e-11
112;5.38e-11
113;4.1e-11
114;3.27e-11
115;2.73e-11
116;2.38e-11
117;2.14e-11
118;1.98e-11
119;1.88e-11
120;1.8e-11
121;9.8e-11
122;1.64e-10
