t;sucrose_input_rate
0;2.91464553486697E-12
1;2.91464553486697E-12
2;2.91464553486697E-12
3;2.91464553486697E-12
4;2.91464553486697E-12
5;2.91464553486697E-12
6;2.91464553486697E-12
7;5.34297465515512E-11
8;1.07135994074602E-10
9;1.50790618045489E-10
10;1.84393618464212E-10
11;2.07944995330771E-10
12;2.21444748645166E-10
13;2.24892878407397E-10
14;2.18289384617464E-10
15;2.01634267275367E-10
16;1.74927526381106E-10
17;1.38169161934681E-10
18;9.13591739360925E-11
19;2.91464553486697E-12
20;2.91464553486697E-12
21;2.91464553486697E-12
22;2.91464553486697E-12
23;2.91464553486697E-12
24;2.91464553486697E-12
25;2.91464553486697E-12
26;2.91464553486697E-12
27;2.91464553486697E-12
28;2.91464553486697E-12
29;2.91464553486697E-12
30;2.91464553486697E-12
31;5.34297465515512E-11
32;1.07135994074602E-10
33;1.50790618045489E-10
34;1.84393618464212E-10
35;2.07944995330771E-10
36;2.21444748645166E-10
37;2.24892878407397E-10
38;2.18289384617464E-10
39;2.01634267275367E-10
40;1.74927526381106E-10
41;1.38169161934681E-10
42;9.13591739360925E-11
43;2.91464553486697E-12
44;2.91464553486697E-12
45;2.91464553486697E-12
46;2.91464553486697E-12
47;2.91464553486697E-12
48;2.91464553486697E-12
49;2.91464553486697E-12
50;2.91464553486697E-12
51;2.91464553486697E-12
52;2.91464553486697E-12
53;2.91464553486697E-12
54;2.91464553486697E-12
55;5.34297465515512E-11
56;1.07135994074602E-10
57;1.50790618045489E-10
58;1.84393618464212E-10
59;2.07944995330771E-10
60;2.21444748645166E-10
61;2.24892878407397E-10
62;2.18289384617464E-10
63;2.01634267275367E-10
64;1.74927526381106E-10
65;1.38169161934681E-10
66;9.13591739360925E-11
67;2.91464553486697E-12
68;2.91464553486697E-12
69;2.91464553486697E-12
70;2.91464553486697E-12
71;2.91464553486697E-12
72;2.91464553486697E-12
73;2.91464553486697E-12
74;2.91464553486697E-12
75;2.91464553486697E-12
76;2.91464553486697E-12
77;2.91464553486697E-12
78;2.91464553486697E-12
79;5.34297465515512E-11
80;1.07135994074602E-10
81;1.50790618045489E-10
82;1.84393618464212E-10
83;2.07944995330771E-10
84;2.21444748645166E-10
85;2.24892878407397E-10
86;2.18289384617464E-10
87;2.01634267275367E-10
88;1.74927526381106E-10
89;1.38169161934681E-10
90;9.13591739360925E-11
91;2.91464553486697E-12
92;2.91464553486697E-12
93;2.91464553486697E-12
94;2.91464553486697E-12
95;2.91464553486697E-12
96;2.91464553486697E-12
97;2.91464553486697E-12
98;2.91464553486697E-12
99;2.91464553486697E-12
100;2.91464553486697E-12
101;2.91464553486697E-12
102;2.91464553486697E-12
103;5.34297465515512E-11
104;1.07135994074602E-10
105;1.50790618045489E-10
106;1.84393618464212E-10
107;2.07944995330771E-10
108;2.21444748645166E-10
109;2.24892878407397E-10
110;2.18289384617464E-10
111;2.01634267275367E-10
112;1.74927526381106E-10
113;1.38169161934681E-10
114;9.13591739360925E-11
115;2.91464553486697E-12
116;2.91464553486697E-12
117;2.91464553486697E-12
118;2.91464553486697E-12
119;2.91464553486697E-12
120;2.91464553486697E-12
121;2.91464553486697E-12
122;2.91464553486697E-12
123;2.91464553486697E-12
124;2.91464553486697E-12
125;2.91464553486697E-12
126;2.91464553486697E-12
127;5.34297465515512E-11
128;1.07135994074602E-10
129;1.50790618045489E-10
130;1.84393618464212E-10
131;2.07944995330771E-10
132;2.21444748645166E-10
133;2.24892878407397E-10
134;2.18289384617464E-10
